reg_std,mean,median,length,featsavg,feats_std,feats_med,th25,th50,th75,low,class
15.461,112.85,118.74,2922,84.712,13.768,88.345,76.181,88.345,96.411,40.998,1
17.094,110.11,118.67,1222,81.171,13.863,86.716,74.37,86.716,91.12,36.055,1
13.952,113.68,118.73,4799,87.21,13.465,90.256,79.178,90.256,98.486,25.346,2
13.997,113.24,118.72,1911,86.683,11.485,88.3,79.142,88.3,96.326,49.522,1
15.755,112.46,118.73,2970,84.718,15.684,90.005,76.981,90.005,96.334,23.652,1
12.068,114.58,118.72,6103,90.741,11.009,93.672,85.915,93.672,99.672,40.002,2
16.172,112.53,118.74,3391,83.883,14.044,87.639,76.249,87.639,94.8,31.646,1
14.295,113.75,118.73,4698,85.963,13.973,88.904,77.103,88.904,97.266,34.113,2
14.954,114.51,118.76,2941,84.423,14.024,88.292,75.16,88.292,95.973,38.947,1
16.788,110.56,118.7,972,82.555,12.666,85.585,76.466,85.585,93.263,49.447,0
13.244,114.87,118.74,5214,87.979,13.47,91.546,80.665,91.546,98.029,36.892,2
14.894,112.52,118.72,1715,86.473,13.244,88.883,78.07,88.883,96.909,35.98,1
12.573,114.39,118.73,6945,89.949,11.948,93.434,83.408,93.434,100.04,44.784,2
16.76,111.07,118.72,1655,82.958,12.77,86.471,74.31,86.471,93.505,50.626,0
17.791,109.55,116.66,1523,80.758,13.435,83.22,72.58,83.22,91.092,38.676,0
15.195,113.12,118.74,4930,84.557,14.624,88.687,76.647,88.687,95.792,29.989,2
11.82,115.18,118.74,749,89.357,12.984,94.471,82.67,94.471,99.869,63.942,0
17.966,109.73,118.7,1452,80.834,13.819,84.011,70.416,84.011,92.417,37.608,0
16.716,109.66,113.63,774,84.366,15.105,89.096,79.452,89.096,95.533,33.534,0
14.031,111.51,114.6,1413,87.286,10.298,88.827,84.033,88.827,94.6,44.869,0
19.011,108.89,115.66,1049,78.594,13.828,82.538,67.68,82.538,88.556,38.494,0
18.322,108.49,114.1,897,80.714,13.346,83.321,74.3,83.321,91.588,35.33,0
17.064,110.37,113.45,1132,80.78,16.25,84.853,71.165,84.853,95.6,34.182,0
16.643,110.68,118.59,1174,83.122,12.854,85.737,75.718,85.737,93.728,35.22,0
17.603,110.07,114.97,1157,77.855,16.167,81.819,66.996,81.819,92.557,29.357,0
14.914,114.42,118.76,1283,85.622,14.743,89.459,76.43,89.459,96.567,37.854,0
19.756,110.69,118.74,2105,76.709,19.297,82.134,64.554,82.134,91.751,19.226,0
24.361,105.5,114.54,1261,69.389,21.015,75.97,59.238,75.97,86.573,12.266,0
19.58,109.83,118.72,3899,76.654,18.402,82.279,64.361,82.279,90.192,19.141,1
17.14,111.48,118.72,2604,82.782,15.093,87.561,77.633,87.561,93.692,15.604,0
18.487,110.5,118.72,2193,80.035,15.407,84.364,70.499,84.364,92.128,18.65,1
17.078,111.63,118.72,4009,81.611,17.796,87.578,73.382,87.578,95.001,22.671,1
16.535,112.1,118.74,3970,83.367,13.832,86.844,75.184,86.844,94.603,29.744,1
15.316,113.74,118.75,2441,86.365,13.842,89.602,81.139,89.602,96.912,33.29,1
15.626,112.82,118.74,3104,83.212,14.541,87.435,74.086,87.435,94.656,36.078,1
17.265,113.16,118.76,1247,82.451,18.209,88.259,78.047,88.259,95.312,20.258,0
17.138,110.9,118.72,2099,81.026,13.871,84.356,71.056,84.356,92.216,37.872,1
18.172,111.84,118.73,7771,77.766,20.136,84.427,65.803,84.427,93.768,8.4921,2
16.13,111.56,118.7,3675,83.694,14.342,87.597,75.158,87.597,95.327,26.779,2
19.299,108.12,113.87,842,78.816,17.823,84.8,73.288,84.8,89.901,8.6566,0
15.665,112.22,118.74,1092,86.028,12.317,88.163,81.343,88.163,94.879,47.822,0
19.287,107.79,113.59,1464,79.147,15.772,83.794,72.877,83.794,90.117,25.466,1
17.305,111.26,118.73,1912,80.798,15.837,85.334,71.516,85.334,93.738,23.212,0
20.274,107.81,113.27,1466,74.505,17.562,77.347,63.79,77.347,90.529,19.673,0
19.545,106.88,112.66,831,78.562,16,84.278,68.721,84.278,90.322,20.85,0
